"","Vial","Date","Run","Well","Sample.Type","Concentration","abs","DL1","ConcentrationS","Conc.calcS"
"248",273,20181123,5,"A2","Sample",NA,0.57,4,407.752509035073,81.5505018070147
"249",273,20181123,5,"A3","Sample",NA,0.582,4,419.176279131368,83.8352558262735
"250",274,20181123,5,"A4","Sample",NA,0.503,4,343.969792664097,68.7939585328194
"251",274,20181123,5,"A5","Sample",NA,0.52,4,360.15346696718,72.0306933934361
"252",274,20181123,5,"A6","Sample",NA,0.521,4,361.105447808538,72.2210895617077
"253",278,20181123,5,"A7","Sample",NA,0.503,4,343.969792664097,68.7939585328194
"254",278,20181123,5,"A8","Sample",NA,0.537,4,376.337141270264,75.2674282540528
"255",278,20181123,5,"A9","Sample",NA,0.54,4,379.193083794338,75.8386167588675
"256",279,20181123,5,"A10","Sample",NA,0.51,4,350.633658553602,70.1267317107204
"257",279,20181123,5,"A11","Sample",NA,0.53,4,369.673275380759,73.9346550761518
"258",279,20181123,5,"A12","Sample",NA,0.548,4,386.808930525201,77.3617861050401
"259",281,20181123,5,"B1","Sample",NA,0.371,4,218.30832160486,43.6616643209719
"260",281,20181123,5,"B2","Sample",NA,0.371,4,218.30832160486,43.6616643209719
"261",281,20181123,5,"B3","Sample",NA,0.374,4,221.164264128933,44.2328528257866
"262",282,20181123,5,"B4","Sample",NA,0.335,4,184.037011315977,36.8074022631953
"263",282,20181123,5,"B5","Sample",NA,0.354,4,202.124647301776,40.4249294603552
"264",282,20181123,5,"B6","Sample",NA,0.36,4,207.836532349923,41.5673064699846
"265",295,20181123,5,"B7","Sample",NA,0.445,4,288.754903865341,57.7509807730682
"266",295,20181123,5,"B8","Sample",NA,0.393,4,239.251900114732,47.8503800229465
"267",295,20181123,5,"B9","Sample",NA,0.45,4,293.51480807213,58.7029616144261
"268",296,20181123,5,"B10","Sample",NA,0.387,4,233.540015066585,46.7080030133171
"269",296,20181123,5,"B11","Sample",NA,0.424,4,268.763306196826,53.7526612393652
"270",296,20181123,5,"B12","Sample",NA,0.422,4,266.85934451411,53.3718689028221
"271",299,20181123,5,"C1","Sample",NA,0.57,4,407.752509035073,81.5505018070147
"272",299,20181123,5,"C2","Sample",NA,0.597,4,433.455991751735,86.6911983503471
"273",299,20181123,5,"C3","Sample",NA,0.611,4,446.783723530745,89.3567447061491
"274",300,20181123,5,"C4","Sample",NA,0.544,4,383.001007159769,76.6002014319538
"275",300,20181123,5,"C5","Sample",NA,0.595,4,431.55203006902,86.310406013804
"276",300,20181123,5,"C6","Sample",NA,0.606,4,442.023819323956,88.4047638647912
