Vial,Date,Run,Well,Sample.Type,Concentration
330,20190123,4,H4,Sample,
330,20190123,4,H5,Sample,
330,20190123,4,H6,Sample,
337,20190123,4,H7,Sample,
337,20190123,4,H8,Sample,
337,20190123,4,H9,Sample,
338,20190123,4,H10,Sample,
338,20190123,4,H11,Sample,
338,20190123,4,H12,Sample,
247,20190123,5,A1,Sample,
247,20190123,5,A2,Sample,
247,20190123,5,A3,Sample,
248,20190123,5,A4,Sample,
248,20190123,5,A5,Sample,
248,20190123,5,A6,Sample,
249,20190123,5,A7,Sample,
249,20190123,5,A8,Sample,
249,20190123,5,A9,Sample,
NA,20190123,5,A10,NA,
NA,20190123,5,A11,NA,
NA,20190123,5,A12,NA,
NA,20190123,5,B1,NA,
NA,20190123,5,B2,NA,
NA,20190123,5,B3,NA,
NA,20190123,5,B4,NA,
NA,20190123,5,B5,NA,
NA,20190123,5,B6,NA,
NA,20190123,5,B7,NA,
NA,20190123,5,B8,NA,
NA,20190123,5,B9,NA,
NA,20190123,5,B10,NA,
NA,20190123,5,B11,NA,
NA,20190123,5,B12,NA,
NA,20190123,5,C1,NA,
NA,20190123,5,C2,NA,
NA,20190123,5,C3,NA,
NA,20190123,5,C4,NA,
NA,20190123,5,C5,NA,
NA,20190123,5,C6,NA,
NA,20190123,5,C7,NA,
NA,20190123,5,C8,NA,
NA,20190123,5,C9,NA,
NA,20190123,5,C10,NA,
NA,20190123,5,C11,NA,
NA,20190123,5,C12,NA,
NA,20190123,5,D1,NA,
NA,20190123,5,D2,NA,
NA,20190123,5,D3,NA,
NA,20190123,5,D4,NA,
NA,20190123,5,D5,NA,
NA,20190123,5,D6,NA,
NA,20190123,5,D7,NA,
NA,20190123,5,D8,NA,
NA,20190123,5,D9,NA,
NA,20190123,5,D10,NA,
NA,20190123,5,D11,NA,
NA,20190123,5,D12,NA,
NA,20190123,5,E1,NA,
NA,20190123,5,E2,NA,
NA,20190123,5,E3,NA,
NA,20190123,5,E4,NA,
NA,20190123,5,E5,NA,
NA,20190123,5,E6,NA,
NA,20190123,5,E7,NA,
NA,20190123,5,E8,NA,
NA,20190123,5,E9,NA,
NA,20190123,5,E10,NA,
NA,20190123,5,E11,NA,
NA,20190123,5,E12,NA,
NA,20190123,5,F1,NA,
NA,20190123,5,F2,NA,
NA,20190123,5,F3,NA,
NA,20190123,5,F4,NA,
NA,20190123,5,F5,NA,
NA,20190123,5,F6,NA,
NA,20190123,5,F7,NA,
NA,20190123,5,F8,NA,
NA,20190123,5,F9,NA,
NA,20190123,5,F10,NA,
NA,20190123,5,F11,NA,
NA,20190123,5,F12,NA,
NA,20190123,5,G1,NA,
NA,20190123,5,G2,NA,
NA,20190123,5,G3,NA,
NA,20190123,5,G4,NA,
NA,20190123,5,G5,NA,
NA,20190123,5,G6,NA,
NA,20190123,5,G7,NA,
NA,20190123,5,G8,NA,
NA,20190123,5,G9,NA,
NA,20190123,5,G10,NA,
NA,20190123,5,G11,NA,
NA,20190123,5,G12,NA,
NA,20190123,5,H1,NA,
NA,20190123,5,H2,NA,
NA,20190123,5,H3,NA,
NA,20190123,5,H4,NA,
NA,20190123,5,H5,NA,
NA,20190123,5,H6,NA,
NA,20190123,5,H7,NA,
NA,20190123,5,H8,NA,
NA,20190123,5,H9,NA,
NA,20190123,5,H10,NA,
NA,20190123,5,H11,NA,
NA,20190123,5,H12,NA,
NA,20190124,6,A1,Standard,2000
NA,20190124,6,A2,Standard,2000
NA,20190124,6,A3,Standard,2000
NA,20190124,6,A4,Standard,1500
NA,20190124,6,A5,Standard,1500
NA,20190124,6,A6,Standard,1500
NA,20190124,6,A7,Standard,1000
NA,20190124,6,A8,Standard,1000
NA,20190124,6,A9,Standard,1000
NA,20190124,6,A10,Standard,750
NA,20190124,6,A11,Standard,750
NA,20190124,6,A12,Standard,750
NA,20190124,6,B1,Standard,500
NA,20190124,6,B2,Standard,500
NA,20190124,6,B3,Standard,500
NA,20190124,6,B4,Standard,250
NA,20190124,6,B5,Standard,250
NA,20190124,6,B6,Standard,250
NA,20190124,6,B7,Standard,125
NA,20190124,6,B8,Standard,125
NA,20190124,6,B9,Standard,125
NA,20190124,6,B10,Standard,25
NA,20190124,6,B11,Standard,25
NA,20190124,6,B12,Standard,25
NA,20190124,6,C1,Blank,0
NA,20190124,6,C2,Blank,0
NA,20190124,6,C3,Blank,0
339,20190124,6,C4,Sample,
339,20190124,6,C5,Sample,
339,20190124,6,C6,Sample,
346,20190124,6,C7,Sample,
346,20190124,6,C8,Sample,
346,20190124,6,C9,Sample,
347,20190124,6,C10,Sample,
347,20190124,6,C11,Sample,
347,20190124,6,C12,Sample,
348,20190124,6,D1,Sample,
348,20190124,6,D2,Sample,
348,20190124,6,D3,Sample,
355,20190124,6,D4,Sample,
355,20190124,6,D5,Sample,
355,20190124,6,D6,Sample,
356,20190124,6,D7,Sample,
356,20190124,6,D8,Sample,
356,20190124,6,D9,Sample,
357,20190124,6,D10,Sample,
357,20190124,6,D11,Sample,
357,20190124,6,D12,Sample,
364,20190124,6,E1,Sample,
364,20190124,6,E2,Sample,
364,20190124,6,E3,Sample,
365,20190124,6,E4,Sample,
365,20190124,6,E5,Sample,
365,20190124,6,E6,Sample,
366,20190124,6,E7,Sample,
366,20190124,6,E8,Sample,
366,20190124,6,E9,Sample,
373,20190124,6,E10,Sample,
373,20190124,6,E11,Sample,
373,20190124,6,E12,Sample,
374,20190124,6,F1,Sample,
374,20190124,6,F2,Sample,
374,20190124,6,F3,Sample,
375,20190124,6,F4,Sample,
375,20190124,6,F5,Sample,
375,20190124,6,F6,Sample,
382,20190124,6,F7,Sample,
382,20190124,6,F8,Sample,
382,20190124,6,F9,Sample,
383,20190124,6,F10,Sample,
383,20190124,6,F11,Sample,
383,20190124,6,F12,Sample,
384,20190124,6,G1,Sample,
384,20190124,6,G2,Sample,
384,20190124,6,G3,Sample,
391,20190124,6,G4,Sample,
391,20190124,6,G5,Sample,
391,20190124,6,G6,Sample,
392,20190124,6,G7,Sample,
392,20190124,6,G8,Sample,
392,20190124,6,G9,Sample,
393,20190124,6,G10,Sample,
393,20190124,6,G11,Sample,
393,20190124,6,G12,Sample,
400,20190124,6,H1,Sample,
400,20190124,6,H2,Sample,
400,20190124,6,H3,Sample,
401,20190124,6,H4,Sample,
401,20190124,6,H5,Sample,
401,20190124,6,H6,Sample,
402,20190124,6,H7,Sample,
402,20190124,6,H8,Sample,
402,20190124,6,H9,Sample,
409,20190124,6,H10,Sample,
409,20190124,6,H11,Sample,
409,20190124,6,H12,Sample,
410,20190124,7,A1,Sample,
410,20190124,7,A2,Sample,
410,20190124,7,A3,Sample,
411,20190124,7,A4,Sample,
411,20190124,7,A5,Sample,
411,20190124,7,A6,Sample,
418,20190124,7,A7,Sample,
418,20190124,7,A8,Sample,
418,20190124,7,A9,Sample,
419,20190124,7,A10,Sample,
419,20190124,7,A11,Sample,
419,20190124,7,A12,Sample,
420,20190124,7,B1,Sample,
420,20190124,7,B2,Sample,
420,20190124,7,B3,Sample,
427,20190124,7,B4,Sample,
427,20190124,7,B5,Sample,
427,20190124,7,B6,Sample,
428,20190124,7,B7,Sample,
428,20190124,7,B8,Sample,
428,20190124,7,B9,Sample,
429,20190124,7,B10,Sample,
429,20190124,7,B11,Sample,
429,20190124,7,B12,Sample,
436,20190124,7,C1,Sample,
436,20190124,7,C2,Sample,
436,20190124,7,C3,Sample,
437,20190124,7,C4,Sample,
437,20190124,7,C5,Sample,
437,20190124,7,C6,Sample,
438,20190124,7,C7,Sample,
438,20190124,7,C8,Sample,
438,20190124,7,C9,Sample,
445,20190124,7,C10,Sample,
445,20190124,7,C11,Sample,
445,20190124,7,C12,Sample,
446,20190124,7,D1,Sample,
446,20190124,7,D2,Sample,
446,20190124,7,D3,Sample,
447,20190124,7,D4,Sample,
447,20190124,7,D5,Sample,
447,20190124,7,D6,Sample,
454,20190124,7,D7,Sample,
454,20190124,7,D8,Sample,
454,20190124,7,D9,Sample,
455,20190124,7,D10,Sample,
455,20190124,7,D11,Sample,
455,20190124,7,D12,Sample,
456,20190124,7,E1,Sample,
456,20190124,7,E2,Sample,
456,20190124,7,E3,Sample,
463,20190124,7,E4,Sample,
463,20190124,7,E5,Sample,
463,20190124,7,E6,Sample,
464,20190124,7,E7,Sample,
464,20190124,7,E8,Sample,
464,20190124,7,E9,Sample,
465,20190124,7,E10,Sample,
465,20190124,7,E11,Sample,
465,20190124,7,E12,Sample,
472,20190124,7,F1,Sample,
472,20190124,7,F2,Sample,
472,20190124,7,F3,Sample,
473,20190124,7,F4,Sample,
473,20190124,7,F5,Sample,
473,20190124,7,F6,Sample,
474,20190124,7,F7,Sample,
474,20190124,7,F8,Sample,
474,20190124,7,F9,Sample,
481,20190124,7,F10,Sample,
481,20190124,7,F11,Sample,
481,20190124,7,F12,Sample,
482,20190124,7,G1,Sample,
482,20190124,7,G2,Sample,
482,20190124,7,G3,Sample,
483,20190124,7,G4,Sample,
483,20190124,7,G5,Sample,
483,20190124,7,G6,Sample,
490,20190124,7,G7,Sample,
490,20190124,7,G8,Sample,
490,20190124,7,G9,Sample,
491,20190124,7,G10,Sample,
491,20190124,7,G11,Sample,
491,20190124,7,G12,Sample,
492,20190124,7,H1,Sample,
492,20190124,7,H2,Sample,
492,20190124,7,H3,Sample,
499,20190124,7,H4,Sample,
499,20190124,7,H5,Sample,
499,20190124,7,H6,Sample,
500,20190124,7,H7,Sample,
500,20190124,7,H8,Sample,
500,20190124,7,H9,Sample,
501,20190124,7,H10,Sample,
501,20190124,7,H11,Sample,
501,20190124,7,H12,Sample,
NA,20190125,8,A1,Standard,2000
NA,20190125,8,A2,Standard,2000
NA,20190125,8,A3,Standard,2000
NA,20190125,8,A4,Standard,1500
NA,20190125,8,A5,Standard,1500
NA,20190125,8,A6,Standard,1500
NA,20190125,8,A7,Standard,1000
NA,20190125,8,A8,Standard,1000
NA,20190125,8,A9,Standard,1000
NA,20190125,8,A10,Standard,750
NA,20190125,8,A11,Standard,750
NA,20190125,8,A12,Standard,750
NA,20190125,8,B1,Standard,500
NA,20190125,8,B2,Standard,500
NA,20190125,8,B3,Standard,500
NA,20190125,8,B4,Standard,250
NA,20190125,8,B5,Standard,250
NA,20190125,8,B6,Standard,250
NA,20190125,8,B7,Standard,125
NA,20190125,8,B8,Standard,125
NA,20190125,8,B9,Standard,125
NA,20190125,8,B10,Standard,25
NA,20190125,8,B11,Standard,25
NA,20190125,8,B12,Standard,25
NA,20190125,8,C1,Blank,0
NA,20190125,8,C2,Blank,0
NA,20190125,8,C3,Blank,0
508,20190125,8,C4,Sample,
508,20190125,8,C5,Sample,
508,20190125,8,C6,Sample,
509,20190125,8,C7,Sample,
509,20190125,8,C8,Sample,
509,20190125,8,C9,Sample,
510,20190125,8,C10,Sample,
510,20190125,8,C11,Sample,
510,20190125,8,C12,Sample,
517,20190125,8,D1,Sample,
517,20190125,8,D2,Sample,
517,20190125,8,D3,Sample,
518,20190125,8,D4,Sample,
518,20190125,8,D5,Sample,
518,20190125,8,D6,Sample,
519,20190125,8,D7,Sample,
