"","coral.lunardate","date.x","lunar.day.x","Vial","coral.id.x","Cells.larvae","treatment","reef.zone","treat.zone","coral.id.y","date.y","lunar.day.y","total.plan","total.plan.sa"
"75","R3 -10",20170713,-10,33,"R3",5430.55555555556,"Ambient","Rim","Rim_AMB","R3","13-Jul",-10,124,0.557561916
"76","R3 -10",20170713,-10,31,"R3",5243.05555555556,"Ambient","Rim","Rim_AMB","R3","13-Jul",-10,124,0.557561916
"77","R3 -8",20170715,-8,127,"R3",2277.77777777778,"Ambient","Rim","Rim_AMB","R3","15-Jul",-8,817,3.673613589
"78","R3 -8",20170715,-8,128,"R3",5333.33333333333,"Ambient","Rim","Rim_AMB","R3","15-Jul",-8,817,3.673613589
"79","R3 -9",20170714,-9,94,"R3",5083.33333333333,"Ambient","Rim","Rim_AMB","R3","14-Jul",-9,384,1.726643352
"80","R3 -9",20170714,-9,95,"R3",6097.22222222222,"Ambient","Rim","Rim_AMB","R3","14-Jul",-9,384,1.726643352
"81","R7 -2",20170721,-2,273,"R7",8263.88888888889,"Ambient","Rim","Rim_AMB","R7","21-Jul",-2,510,1.286177495
"82","R7 -2",20170721,-2,274,"R7",8326.38888888889,"Ambient","Rim","Rim_AMB","R7","21-Jul",-2,510,1.286177495
"83","R7 -3",20170720,-3,258,"R7",8020.83333333333,"Ambient","Rim","Rim_AMB","R7","20-Jul",-3,142,0.358112165
"84","R7 -3",20170720,-3,259,"R7",9090.27777777778,"Ambient","Rim","Rim_AMB","R7","20-Jul",-3,142,0.358112165
"85","R7 -4",20170719,-4,255,"R7",10777.7777777778,"Ambient","Rim","Rim_AMB","R7","19-Jul",-4,408,1.028941996
"86","R7 -4",20170719,-4,256,"R7",8069.44444444444,"Ambient","Rim","Rim_AMB","R7","19-Jul",-4,408,1.028941996
"87","R7 -6",20170717,-6,190,"R7",6486.11111111111,"Ambient","Rim","Rim_AMB","R7","17-Jul",-6,1107,2.791761739
"88","R7 -6",20170717,-6,191,"R7",4458.33333333333,"Ambient","Rim","Rim_AMB","R7","17-Jul",-6,1107,2.791761739
"89","R7 -7",20170716,-7,178,"R7",8784.72222222222,"Ambient","Rim","Rim_AMB","R7","16-Jul",-7,807,2.035186742
"90","R7 -7",20170716,-7,179,"R7",10722.2222222222,"Ambient","Rim","Rim_AMB","R7","16-Jul",-7,807,2.035186742
"91","R7 1",20170724,1,299,"R7",8361.11111111111,"Ambient","Rim","Rim_AMB","R7","24-Jul",1,79,0.199231416
"92","R7 1",20170724,1,300,"R7",11527.7777777778,"Ambient","Rim","Rim_AMB","R7","24-Jul",1,79,0.199231416
