Date of Patch_HOToto,Date.Release,lunar.day,Colony,Timepoint,Treatment.1,Treatment.2,treat.zone,Treat.zone.2,Reef,Larval_No,Length_1,Width_1,Volume_1,Length_2,Width_2,Shape_class
20170715,20170715,-8,P10,T1,Ambient,N/A,Patch_AMB,N/A,Patch,5,1.025,0.99,0.846908749,1.032,0.976,Circular
20170715,20170715,-8,P10,T1,Ambient,N/A,Patch_AMB,N/A,Patch,6,1.002,0.992,0.812600877,1.007,0.988,Circular
20170715,20170715,-8,P10,T1,Ambient,N/A,Patch_AMB,N/A,Patch,7,0.948,0.987,0.720061315,0.987,0.948,Circular
20170715,20170715,-8,P10,T1,Ambient,N/A,Patch_AMB,N/A,Patch,8,0.689,0.699,0.190770534,0.699,0.689,Circular
20170715,20170715,-8,P10,T1,Ambient,N/A,Patch_AMB,N/A,Patch,9,0.801,0.794,0.332678348,0.801,0.794,Circular
20170715,20170715,-8,P10,T1,Ambient,N/A,Patch_AMB,N/A,Patch,10,0.732,0.798,0.280637979,0.798,0.732,Irregular
20170716,20170716,-7,P1,T1,Ambient,N/A,Patch_AMB,N/A,Patch,1,0.761,0.808,0.310964301,0.808,0.761,Circular
20170716,20170716,-7,P1,T1,Ambient,N/A,Patch_AMB,N/A,Patch,2,0.613,0.707,0.15448214,0.707,0.613,Circular
20170716,20170716,-7,P1,T1,Ambient,N/A,Patch_AMB,N/A,Patch,3,0.714,0.779,0.254442608,0.779,0.714,Circular
20170716,20170716,-7,P1,T1,Ambient,N/A,Patch_AMB,N/A,Patch,4,0.713,0.703,0.206637058,0.713,0.703,Circular
20170716,20170716,-7,P1,T1,Ambient,N/A,Patch_AMB,N/A,Patch,5,0.776,0.769,0.292883308,0.776,0.769,Circular
20170716,20170716,-7,P1,T1,Ambient,N/A,Patch_AMB,N/A,Patch,6,0.813,0.785,0.334995447,0.813,0.785,Circular
20170716,20170716,-7,P1,T1,Ambient,N/A,Patch_AMB,N/A,Patch,7,0.691,0.719,0.203016985,0.719,0.691,Circular
20170716,20170716,-7,P1,T1,Ambient,N/A,Patch_AMB,N/A,Patch,8,0.904,0.787,0.41629848,0.904,0.787,Circular
20170716,20170716,-7,P1,T1,Ambient,N/A,Patch_AMB,N/A,Patch,9,0.858,0.851,0.438482429,0.858,0.851,Circular
20170716,20170716,-7,P1,T1,Ambient,N/A,Patch_AMB,N/A,Patch,10,1.323,0.522,0.392264669,1.323,0.522,Pear
20170716,20170716,-7,P3,T1,Ambient,N/A,Patch_AMB,N/A,Patch,1,0.685,0.802,0.248226634,0.802,0.685,Irregular
20170716,20170716,-7,P3,T1,Ambient,N/A,Patch_AMB,N/A,Patch,2,0.724,0.857,0.316633802,0.857,0.724,Irregular
20170716,20170716,-7,P3,T1,Ambient,N/A,Patch_AMB,N/A,Patch,3,1.116,0.877,0.7878546,1.116,0.877,Irregular
20170716,20170716,-7,P3,T1,Ambient,N/A,Patch_AMB,N/A,Patch,4,0.684,0.733,0.206746731,0.733,0.684,Irregular
20170716,20170716,-7,P3,T1,Ambient,N/A,Patch_AMB,N/A,Patch,5,0.75,0.807,0.301292344,0.807,0.75,Circular
20170716,20170716,-7,P3,T1,Ambient,N/A,Patch_AMB,N/A,Patch,6,1.015,0.826,0.578110262,1.015,0.826,Circular
20170716,20170716,-7,P3,T1,Ambient,N/A,Patch_AMB,N/A,Patch,7,1.057,1.071,1.054016515,1.071,1.035,Circular
20170716,20170716,-7,P3,T1,Ambient,N/A,Patch_AMB,N/A,Patch,8,1.077,0.984,0.923719481,1.083,0.93,Circular
20170716,20170716,-7,P3,T1,Ambient,N/A,Patch_AMB,N/A,Patch,9,0.912,1.015,0.704758399,1.015,0.912,Circular
20170716,20170716,-7,P3,T1,Ambient,N/A,Patch_AMB,N/A,Patch,10,0.939,0.771,0.431080562,0.939,0.771,Circular
20170716,20170716,-7,P10,T1,Ambient,N/A,Patch_AMB,N/A,Patch,1,0.516,0.527,0.06081898,0.527,0.516,Circular
20170716,20170716,-7,P10,T1,Ambient,N/A,Patch_AMB,N/A,Patch,2,0.79,0.821,0.345986375,0.821,0.79,Circular
20170716,20170716,-7,P10,T1,Ambient,N/A,Patch_AMB,N/A,Patch,3,0.768,0.826,0.330979453,0.826,0.768,Circular
20170716,20170716,-7,P10,T1,Ambient,N/A,Patch_AMB,N/A,Patch,4,0.78,0.867,0.376136864,0.867,0.78,Circular
20170716,20170716,-7,P10,T1,Ambient,N/A,Patch_AMB,N/A,Patch,5,0.714,0.696,0.20311098,0.714,0.696,Circular
20170716,20170716,-7,P10,T1,Ambient,N/A,Patch_AMB,N/A,Patch,6,0.7,0.805,0.261159808,0.805,0.7,Circular
20170716,20170716,-7,P10,T1,Ambient,N/A,Patch_AMB,N/A,Patch,7,0.815,0.919,0.461386348,0.919,0.815,Circular
20170716,20170716,-7,P10,T1,Ambient,N/A,Patch_AMB,N/A,Patch,8,0.894,0.762,0.381683582,0.894,0.762,Circular
20170716,20170716,-7,P10,T1,Ambient,N/A,Patch_AMB,N/A,Patch,9,0.939,0.889,0.573130084,0.939,0.889,Circular
20170716,20170716,-7,P10,T1,Ambient,N/A,Patch_AMB,N/A,Patch,10,0.826,0.855,0.410214326,0.855,0.826,Circular
20170717,20170717,-6,P2,T1,Ambient,N/A,Patch_AMB,N/A,Patch,1,0.905,0.532,0.190650927,0.905,0.532,Circular
20170717,20170717,-6,P2,T1,Ambient,N/A,Patch_AMB,N/A,Patch,2,0.952,0.388,0.112216275,0.952,0.388,Pear
20170717,20170717,-6,P2,T1,Ambient,N/A,Patch_AMB,N/A,Patch,3,0.861,0.902,0.49606419,0.902,0.861,Circular
20170717,20170717,-6,P2,T1,Ambient,N/A,Patch_AMB,N/A,Patch,4,0.46,0.477,0.039597788,0.477,0.46,Circular
20170717,20170717,-6,P2,T1,Ambient,N/A,Patch_AMB,N/A,Patch,5,0.639,0.737,0.18241275,0.737,0.639,Circular
